title,company,location,posted,description,applicants,work_mode,link,data_coleta
Cientista de Dados Jr.,PagBank,"São Paulo, São Paulo, Brazil",1 week ago,"Descrição da vagaQuando você pensa em carreira, o que vem à sua mente? Propósito? Colaboração? Ser protagonista para fazer a diferença? No PagBank temos tudo isso e muito mais. 💛Estamos em busca de pessoas que vistam a camisa com orgulho. Gente com vontade de facilitar a vida financeira das pessoas e impulsionar negócios!Tá a fim de uma carreira que rende mais?Confira essa oportunidade e #VemProPags!Responsabilidades e atribuiçõesDesenvolver modelos para otimização de processos de banking ou adquirência.Analisar grandes volumes de dados transacionais para identificar padrões, tendências e oportunidades de melhoria nos processos.Implementar algoritmos de segmentação de clientes e predição de comportamento para aumentar a eficiência e a personalização dos serviços oferecidos.Trabalhar em estreita colaboração com equipes de engenharia, produto e negócios para definir e implementar soluções de dados que atendam às necessidades do cliente e da empresa.Fornecer insights complexos de maneira clara e eficaz para stakeholders não técnicos, ajudando na tomada de decisões estratégicas.Requisitos e qualificaçõesSuperior completo ou em andamento em Ciências da Computação, Engenharia, Matemática, Estatística ou áreas relacionadas.Experiência com análise de grandes volumes de dados para a geração de insights para times de negócio.Experiência com ferramentas de análise de dados e programação como SQL, Python, R ou bibliotecas de machine learning (TensorFlow, PyTorch, Scikit-Learn, etc.).Habilidade para resolver problemas complexos de maneira criativa e inovadora.Conhecimento de processos de versionamento de código (Git, Github).Habilidade para traduzir dúvidas e necessidades dos times de negócios em requisitos para as análises.Olá, somos o PagBank!Talvez você nos conheça por maquininhas ou comerciais que ficam na memória, mas somos muito mais!Todos os dias desenvolvemos produtos e soluções inspiradas pelo nosso propósito: facilitar a vida financeira das pessoas e negócios.Trabalhamos para transformar a forma como as pessoas lidam com dinheiro abrindo novas possibilidades para alcançarem seus sonhos.Como fazemos tudo isso?💛Com genteSomos um time que joga junto! Aqui valorizamos todas as diversidades, seja de raça/etnia, gênero, idade, origem, pessoa com deficiência, orientação afetivo-sexual, constituição familiar e estética.💛Com tecnologiaO espírito disruptivo e inovador está no nosso DNA: somos parte do Grupo UOL, empresa 100% brasileira, foi pioneira na internet e transforma a vida das pessoas desde 1996.💛Com uma só culturaTemos uma cultura forte e única, capaz de nos levar além, para continuarmos crescendo e perpetuando o nosso negócio.Somos um dos maiores bancos digitais do país e uma das fintechs mais rentáveis do segmento e certificados como um Excelente Lugar para Trabalhar pela Great Place to Work.Para vivenciar tudo isso, você terá um pacote completo de benefícios que fazem toda a diferença:Vale-alimentação e/ou refeição.Plano de saúde e odontológico.Seguro de vida.Parceria com TotalPass e ZenKlub.Licença maternidade e paternidade estendidas.Auxílio-creche.Descontos de até 50% em pós-graduação e MBA de grandes instituições, como FIA, FAAP e PUCRS.E tem mais:No dress code: o importante é você usar o que te faz bem.#TáDeParabéns: Day off no aniversário.Baby Gift: presente para recém-nascidos.Tá a fim de uma carreira que rende mais?Vem pro nosso time imbatível!#VemProPags.Show moreShow less",N/A,On-site/Hybrid,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4416323402,2026-06-01
Banco de Talentos - Pessoa Desenvolvedora SR (C#) - Afirmativa para Pessoas Pretas e Pardas,F1RST Digital Services,"São Paulo, São Paulo, Brazil",1 week ago,"A Toro Corretora agora éSantander Investimentos, e o seu DNA de agilidade, tecnologia e Corretagem Zero se une à solidez e credibilidade global do Santander.Nosso propósito é gerar liberdade financeira para as pessoas.Santander Investimentoscomo a casa completa de investimentos, oferecendo solidez e infraestrutura para operar e a marca Toro como plataforma de trading do Santander Brasil, dedicada a quem respira o mercado.Buscamos inovação contínua para ajudar clientes a encontrar as melhores oportunidades de um jeito fácil e seguro. Para isso, combinamos pessoas e tecnologia, valorizando e preservando o espírito colaborativo, diverso e inovador de nosso time.Temos uma vaga para você se tornarIT Analyst III (C# / Angular).Aqui, seu papel será:Buscar por novas técnicas e tecnologias que multipliquem nossa eficiência através de ferramentas e bibliotecas;Escalar microsserviços (alta disponibilidade, alta capacidade, baixa latência);Comunicação microsserviços (incluindo ambientes nuvem c/ on-premise);Atuar com desenvolvimento e manutenção de frontends quando necessário (juntamente com outros desenvolvedores especializados em frontend);Integração contínua, devops e deployment contínuo;Monitoramento de serviços com CloudWatch, Kibana e Grafana.ImplementarRequisitos Imprescindíveis:Sólida experiência em projetar, construir, gerenciar e escalar soluções escaláveis de microsserviços;Nossos serviços backend e apis são em sua maioria escritas em C# (.Net Framework e .Net Core) e TypeScript (NodeJS);Facilidade e disposição para assimilar uma a outra stack caso não tenha experiência prévia;Construção e manutenção de soluções frontend usando algum framework JavaScript/TypeScript;Experiência com Angular;Experiência com Cultura Agile (Scrum, Kanban, Pair programming, TDD);Experiência com DevOps;Conhecimento em automatização de pipelines de builds, testes e deployments (AzureDevOps ou TFS).Requisitos Desejáveis:Experiência com arquitetura em nuvem (preferencialmente, AWS);Experiência com arquitetura Serverless;Experiência com containers;Conhecimentos de Clean Architecture e Domain Driven Design;Ter influência no ecossistema de IA para desenvolvimento;Kafka e/ou Redis.Local de Trabalho:Radar - Rua Amador Bueno, 474 - Santo Amaro - SPBenefícios:➡️ Auxílio refeição;➡️ Convênio médico;➡️ Convênio Odontológico: Plano básico e intermediário;➡️ Vale Transporte;➡️ Flex Férias: 24 dias úteis de férias podendo ser divididos em até 6 vezes, e a cada 2 meses trabalhados você já pode aproveitar 4 dias úteis;➡️ DayOff Aniversário;➡️ Parceiros de academia: Wellhub, Totalpass;➡️ Flex Working: Modelo de trabalho híbrido: 2 dias Home Office e 3 dias presenciais;➡️ Plataformas de treinamento com mais de 100 mil cursos;➡️ Linhas de carreira para o seu desenvolvimento profissional;➡️ Flex Learning: Incentivo para estudos exclusivo a funcionários com Alta Performance;➡️ Auxílio Creche;➡️ Programa Nascer;➡️ Licença Maternidade e Paternidade estendida;➡️ Seguro de Vida;➡️ Be Healthy - Programa que incentiva todos a terem hábitos mais saudáveis;➡️ PAPE - Programa de apoio pessoal especializado.Show moreShow less",N/A,On-site/Hybrid,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4413337679,2026-06-01
Data Scientist Specialist,Banco Bradesco,"Osasco, São Paulo, Brazil",1 week ago,"Sobre o BradescoO Bradesco é um dos maiores grupos financeiros do Brasil, com uma história marcada pelo pioneirismo e inovação. Por meio da nossa carteira amplamente diversificada de produtos financeiros, serviços bancários e de seguros contribuímos com a realização das pessoas e o crescimento sustentável de empresas e sociedade. Venha fazer parte do nosso ecossistema financeiro e impactar a experiência de milhões de pessoas!No Bradesco valorizamos a diversidade em todas as suas formas. Por isso, as nossas vagas são abertas a todas as pessoas, independentemente de gênero, raça, orientação sexual, deficiência, idade ou qualquer outra característica.Saiba mais em https://banco.bradesco/html/classic/sobre/index.shtmResponsabilidades e atribuiçõesO que é o nosso time de Crédito?Temos como missão garantir uma gestão eficiente na concessão e manutenção de crédito, que assegure rentabilidade e o crescimento com solidez dos ativos da Organização.Modelo de trabalho : Híbrido - 2x PresencialUnidade: São Paulo - OsascoComo será seu dia a dia?Sendo Data Scientist Specialist, atuará na gerência Crédito e suas principais atividades serão:Modelagem específica para provisionamento (resolução 4966, PD/EAD/LGD);Identificação de oportunidade nas aplicações dos modelos;Identificação de melhorias em modelos existentes;Análise de dados;Melhoria de processo.Requisitos e QualificaçõesO que você precisa ter ou saber?É necessário conhecimentos em provisionamento/Resolução 4966 e mercado financeiroSerá um diferencial se você tiver:Conhecimentos em Python / Databricks e estatística.O que nós oferecemosNo Bradesco valorizamos a saúde e bem-estar, oferecendo um extenso portfólio de benefícios a todas nossas pessoas funcionárias:PLR ou Bônus: Conforme a elegibilidade de cargo*Convênio MédicoConvênio OdontológicoSeguro de VidaVale AlimentaçãoVale Refeição13º Cesta AlimentaçãoTotal PassVale Transporte (adesão opcional)Descontos em produtos e serviços em empresas parceirasPrevidência Privada (adesão opcional, com participação financeira da Organização Bradesco)Viva Bem Bradesco: programa de saúde, bem-estar e qualidade de vidaUnibrad: Universidade Corporativa BradescoIsenção de Tarifas: condições especiais em diversos produtos e serviçosAuxílio Creche ou BabáLicença Paternidade estendida de 20 diasLicença Maternidade de 180 dias, acompanhamento assistencial da gestação até o pós-partoShow moreShow less",N/A,On-site/Hybrid,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4418031756,2026-06-01
Data Scientist III - Estratégia de Investimentos,Banco Bradesco,"Osasco, São Paulo, Brazil",1 week ago,"Sobre o BradescoO Bradesco é um dos maiores grupos financeiros do Brasil, com uma história marcada pelo pioneirismo e inovação. Por meio da nossa carteira amplamente diversificada de produtos financeiros, serviços bancários e de seguros contribuímos com a realização das pessoas e o crescimento sustentável de empresas e sociedade. Venha fazer parte do nosso ecossistema financeiro e impactar a experiência de milhões de pessoas!No Bradesco valorizamos a diversidade em todas as suas formas. Por isso, as nossas vagas são abertas a todas as pessoas, independentemente de gênero, raça, orientação sexual, deficiência, idade ou qualquer outra característica.Saiba mais em https://banco.bradesco/html/classic/sobre/index.shtmResponsabilidades e atribuiçõesO que é o nosso time de Pricing?Somos responsáveis pela definição e gestão estratégica de preços e condições financeiras dos produtos do banco, equilibrando rentabilidade, competitividade e risco. Atuando com dados, modelagens e inteligência de mercado para apoiar decisões comerciais e impulsionar resultados sustentáveis em diversas linhas de negócio.Modelo de trabalho : Híbrido - 3x PresencialUnidade: Osasco/SPComo será seu dia a dia?Sendo Data Scientist III - Estratégia de Investimentos, atuará na gerência Investimentos Pricing e suas principais atividades serão:Desenvolver análises que suportem a definição e revisão das estratégias de pricing para produtos de investimentos (ex.: depósitos, LCI, LCA)Avaliar estruturas de taxas, descontos e incentivos comerciais, identificando oportunidades com base em rentabilidade, competitividade e perfil de cliente, além de elaborar planos de açãoMonitorar a adesão à política de alçadas para descontos comerciais, garantindo o tratamento adequado de desviosOrquestrar e priorizar, junto às áreas de tecnologia, os desenvolvimentos necessários para evolução da precificação, definindo planos de ação e acompanhando sua execuçãoRealizar estudos de mercado, análise de performance de produtos e identificação de oportunidades em novos negóciosGerar, estruturar e comunicar insights acionáveis para suportar decisões estratégicas de pricingRequisitos e QualificaçõesO que você precisa ter ou saber?Ensino superior completo em Economia, Administração, Engenharia ou áreas correlatasSólida experiência com análise de dados, modelagem financeira e precificação, preferencialmente aplicada a produtos de investimentos (ex.: CDB, LCI, LCA)Conhecimento do mercado e da regulamentação de investimentos bancáriosConhecimento em estratégia de precificação e análise de rentabilidadeExcel avançado e SQLSerá um diferencial se você tiver:Experiência com PythonO que nós oferecemosNo Bradesco valorizamos a saúde e bem-estar, oferecendo um extenso portfólio de benefícios a todas nossas pessoas funcionárias:PLR ou Bônus: Conforme a elegibilidade de cargo*Convênio MédicoConvênio OdontológicoSeguro de VidaVale AlimentaçãoVale Refeição13º Cesta AlimentaçãoTotal PassVale Transporte (adesão opcional)Descontos em produtos e serviços em empresas parceirasPrevidência Privada (adesão opcional, com participação financeira da Organização Bradesco)Viva Bem Bradesco: programa de saúde, bem-estar e qualidade de vidaUnibrad: Universidade Corporativa BradescoIsenção de Tarifas: condições especiais em diversos produtos e serviçosAuxílio Creche ou BabáLicença Paternidade estendida de 20 diasLicença Maternidade de 180 dias, acompanhamento assistencial da gestação até o pós-partoShow moreShow less",N/A,On-site/Hybrid,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4417407822,2026-06-01
Banco de Talentos - Pessoa Desenvolvedora SR (C#) - Afirmativa para Mulheres,F1RST Digital Services,"São Paulo, São Paulo, Brazil",1 week ago,"A Toro Corretora agora éSantander Investimentos, e o seu DNA de agilidade, tecnologia e Corretagem Zero se une à solidez e credibilidade global do Santander.Nosso propósito é gerar liberdade financeira para as pessoas.Santander Investimentoscomo a casa completa de investimentos, oferecendo solidez e infraestrutura para operar e a marca Toro como plataforma de trading do Santander Brasil, dedicada a quem respira o mercado.Buscamos inovação contínua para ajudar clientes a encontrar as melhores oportunidades de um jeito fácil e seguro. Para isso, combinamos pessoas e tecnologia, valorizando e preservando o espírito colaborativo, diverso e inovador de nosso time.Temos uma vaga para você se tornarIT Analyst III (C# / Angular).Aqui, seu papel será:Buscar por novas técnicas e tecnologias que multipliquem nossa eficiência através de ferramentas e bibliotecas;Escalar microsserviços (alta disponibilidade, alta capacidade, baixa latência);Comunicação microsserviços (incluindo ambientes nuvem c/ on-premise);Atuar com desenvolvimento e manutenção de frontends quando necessário (juntamente com outros desenvolvedores especializados em frontend);Integração contínua, devops e deployment contínuo;Monitoramento de serviços com CloudWatch, Kibana e Grafana.ImplementarRequisitos Imprescindíveis:Sólida experiência em projetar, construir, gerenciar e escalar soluções escaláveis de microsserviços;Nossos serviços backend e apis são em sua maioria escritas em C# (.Net Framework e .Net Core) e TypeScript (NodeJS);Facilidade e disposição para assimilar uma a outra stack caso não tenha experiência prévia;Construção e manutenção de soluções frontend usando algum framework JavaScript/TypeScript;Experiência com Angular;Experiência com Cultura Agile (Scrum, Kanban, Pair programming, TDD);Experiência com DevOps;Conhecimento em automatização de pipelines de builds, testes e deployments (AzureDevOps ou TFS).Requisitos Desejáveis:Experiência com arquitetura em nuvem (preferencialmente, AWS);Experiência com arquitetura Serverless;Experiência com containers;Conhecimentos de Clean Architecture e Domain Driven Design;Ter influência no ecossistema de IA para desenvolvimento;Kafka e/ou Redis.Local de Trabalho:Radar - Rua Amador Bueno, 474 - Santo Amaro - SPBenefícios:➡️ Auxílio refeição;➡️ Convênio médico;➡️ Convênio Odontológico: Plano básico e intermediário;➡️ Vale Transporte;➡️ Flex Férias: 24 dias úteis de férias podendo ser divididos em até 6 vezes, e a cada 2 meses trabalhados você já pode aproveitar 4 dias úteis;➡️ DayOff Aniversário;➡️ Parceiros de academia: Wellhub, Totalpass;➡️ Flex Working: Modelo de trabalho híbrido: 2 dias Home Office e 3 dias presenciais;➡️ Plataformas de treinamento com mais de 100 mil cursos;➡️ Linhas de carreira para o seu desenvolvimento profissional;➡️ Flex Learning: Incentivo para estudos exclusivo a funcionários com Alta Performance;➡️ Auxílio Creche;➡️ Programa Nascer;➡️ Licença Maternidade e Paternidade estendida;➡️ Seguro de Vida;➡️ Be Healthy - Programa que incentiva todos a terem hábitos mais saudáveis;➡️ PAPE - Programa de apoio pessoal especializado.Show moreShow less",N/A,On-site/Hybrid,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4413352385,2026-06-01
Data Scientist Specialist,Natura,"São Paulo, São Paulo, Brazil",2 weeks ago,"NOSSAS PESSOAS, JUNTAS, LIDERAM COM CONSCIÊNCIA.Na Natura, temos potencial para impulsionar transformações significativas. Isso é possível por meio dos produtos inovadores da Natura e Avon; das experiências marcantes dos serviços de beleza da Bluma e da nossa plataforma de educação financeira, a Emana Pay. Marcas e serviços relevantes para quem os utiliza e reconhecidos pelo nosso compromisso com a condução de negócios regenerativos.FunçãoPrazo indeterminadoO que você vai fazer por aqui?Estamos buscando profissionais de Especialista Cientista de dados, para trabalhar com advanced analytics aplicando técnicas de machine learning, com objetivo de aprimorar os processos de Gestão Comercial.Quais conhecimentos e vivências você vai precisar para compartilhar com a nossa rede?Identificar e propor soluções para problemas, sendo capaz de entregar um projeto de ML desde a concepção até a produção, incluindo a compreensão da necessidade do negócio, transformando e explorando os dados, construindo e validando modelos de ML e implantando modelos completos para entregar impacto de negócios para organização;Desenvolver modelos de Forecasting para prever demanda, receita e comportamento de usuários;Utilização do ambiente Databricks, gerenciando o ciclo de vida de modelos;Apoiar de forma consultiva times multidisciplinares em projetos de IA.Quais os Requisitos?Estatística: estatística descritiva, distribuições probabilísticas, testes de hipótese, estatística aplicada a Machine Learning;Programação: conhecimento sólido em linguagem de programação SQL e Python;Versionamento: Familiaridade em versionamento de código;Habilidade com Data Storytelling;Formação: Graduação completa.Quais os diferenciais?Experiência em Forecasting;Vivência em ambiente Databricks;O que você vai encontrar por aqui?Somos mais do que um lugar de trabalho: construímos e vivemos diariamente o Ecossistema Bem Estar Bem, baseado na relação harmoniosa entre cada indivíduo, as relações ao seu redor e o ambiente em que está inserido. Além de oferecer benefícios voltados ao bem-estar social, físico, financeiro, mental e emocional, promovemos um ambiente de prosperidade, pertencimento e propósito, fortalecendo uma rede sólida de apoio, expansão de consciência e respeito à diversidade, equidade e inclusão.Somos um movimento que transforma a maneira de viver e fazer negócios em 14 países da América Latina, sempre guiados por consciência.Conhece alguma pessoa aqui na Natura?Se sim, peça o e-mail corporativo dessa pessoa e, ao se inscrever para uma vaga, utilize-o para solicitar uma recomendação. É uma excelente oportunidade para fortalecer sua rede de contatos e avançar no seu processo seletivo em nossa empresa!A Natura celebra e abraça a diversidade em todas as suas formas e pluralidades.Convidamos #Mulheres, #PessoasNegras, #PessoasComDeficiência, pessoas da comunidade #LGBTQIA+, #Gestantes e pessoas com #50anos+ a se candidatarem para esta vaga!Show moreShow less",N/A,On-site/Hybrid,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4414769495,2026-06-01
Cientista de Dados Jr — Inteligência de Mercado,InfoPrice,"São Paulo, São Paulo, Brazil",4 days ago,"💙 Analista de Inteligência Comercial e de Mercado Jr. (Foco em Dados e IA) - InfoPriceA InfoPrice é a empresa líder em inteligência de preços no varejo brasileiro. Nossos produtos (InfoPaneleIPA) ajudam grandes indústrias e varejistas a tomar decisões estratégicas de pricing baseadas em dados reais de mercado.Responsabilidades e atribuições🚀 A Oportunidade: Por que essa vaga é única?Estamos criando um posição para quem tem base quantitativa sólida e quer usar dados proprietários combinados com o estado da arte em IA para transformar o mercado.🎯 Suas principais missões:Inteligência para o Comercial (≈70% do tempo)Cruzar dados internos da InfoPrice com cenários de mercado para gerar análises customizadas que apoiem o discurso comercial em grandes contas.Construir ferramentas internas rápidas (modelos analíticos, calculadoras, mini-dashboards, scripts e automações) usando IA para acelerar o desenvolvimento.Aplicar técnicas estatísticas para extrair insights que virem diferenciais competitivos.Trabalhar próximo ao time Comercial para entender as dores dos clientes e calibrar as entregas.Materiais para o Mercado (≈30% do tempo — crescendo com o tempo)Identificar quais análises criadas internamente têm potencial para virar conteúdo público (estudos setoriais, reports temáticos e índices de mercado).Colaborar com o time de Marketing para transformar esses dados em reports, posts, infográficos e releases de grande impacto no varejo brasileiro.Requisitos e qualificações🛠️ O que buscamos (Requisitos Obrigatórios):Graduação completa (ou nos últimos semestres) em Estatística, Economia, Matemática, Ciência de Dados, Engenharia ou áreas correlatas.Fundamento quantitativo sólido: dominar estatística, modelagem e análise multivariada (saber o porquê de aplicar cada técnica, e não apenas rodar uma função).Python voltado para análise e modelagem de dados (pandas, scikit-learn ou equivalentes).SQL para extração e cruzamento de dados (conforto com queries complexas).Fluência real no uso de IA para acelerar seu fluxo analítico (Claude, ChatGPT, etc.).Familiaridade com pelo menos uma ferramenta de visualização de dados (Metabase, Looker, Tableau, Power BI).Storytelling de Dados: Capacidade de traduzir análises complexas em narrativas claras e visuais que qualquer executivo entenda.Curiosidade analítica e interesse genuíno por economia, varejo e comportamento de mercado.✨ Será um diferencial se você tiver:Experiência real com ferramentas como Claude Code, Cursor, agentes de IA ou similares.Portfólio público de projetos analíticos (GitHub, blog, Substack, TCC, Kaggle).Familiaridade com fontes de dados públicos (IBGE, FGV, Bacen, FIPE).Conhecimento prévio de varejo, pricing, inteligência competitiva ou pré-vendas B2B (sales engineering).Informações adicionais🧠 Como será o seu dia e modelo de trabalho:Você estará alocado(a) no time deMarketing(com reporte direto ao gestor da área), mas transitará diariamente entre três mundos: Comercial (seu principal cliente interno), Marketing (onde seus materiais viram vitrine) e Produto/Dados (a fonte da nossa matéria-prima).Você será aprimeira pessoa nessa funçãona InfoPrice. Isso significa que você terá muita mentoria por perto, mas também autonomia de sobra para testar ferramentas novas, errar, aprender e desenhar o próprio processo.Modalidade: Híbrida, com pelo menos 2 dias presenciais por semana no escritório em Pinheiros, São PauloNível: Júnior / Pleno IContrato: CLT, com pacote de benefícios da empresa: Alimentação/Refeição: R$ 32 por dia (cartão Alymente - Mastercard). Saúde & Bem-Estar: Plano de Saúde e Odontológico Amil (70% custeado pela InfoPrice) + TotalPass + Desconto em sessões de terapia (PsicoSociall). Flexibilidade & Apoio: Auxílio Home Office (R$ 45,00/mês), Day Off no Aniversário de Casa e Equipamentos para atuação, descontos Corporativos (Convenia) em bares, cinemas, faculdades, etc.Show moreShow less",N/A,On-site/Hybrid,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4417632196,2026-06-01
Data Scientist,DoorDash,"São Paulo, São Paulo, Brazil",1 week ago,"About The TeamThe Analytics team is looking for experienced Data Scientists to guide measurement, strategy, and tactical decision-making across the company across a variety of teams and levels. Data Scientists at DoorDash work to uncover insights and turn them into relevant recommendations, driving decisions for the entire organization. Analytics is integral to all operational areas at DoorDash.Please apply here for all non-managerial levels within the following analytics teams:Consumer & GrowthBusiness OperationsDasher & LogisticsCustomer Experience & IntegrityMerchant, Ads & SalesNew VerticalsInternational Data ScienceAbout The RoleAs a Data Scientist at DoorDash, you'll use your quantitative background to mentor other scientists and dive into large datasets to guide decision-making. We solve a multitude of exciting challenges including customer acquisition, fraud and support, marketing, balancing supply and demand, new city launches, marketplace efficiency, and more. If you enjoy finding patterns amidst chaos, and have experience using analytics to affect revenue, growth, operations or beyond, we're looking for someone like you!You're Excited About This Opportunity Because You Will…Use quantitative analysis and the presentation of data to see beyond the numbers and understand what drives our businessBuild full-cycle analytics experiments, reports, and dashboards using SQL, R, Python, or other scripting and statistical toolsWork with and mentor junior analysts on how to use more advanced methods and solve challengesProduce recommendations and use statistical techniques and hypothesis testing to validate your findingsProvide insights to help business and product leaders understand marketplace dynamics, user behaviors, and long-term trendsIdentify and measure levers to help move essential metrics and make recommendationsWork backwards from understanding and sizing problems to ideating solutionsReport against our goals by identifying essential metrics and building executive-facing dashboards to track progressCollaborate with engineering to implement, document, validate, and monitor our loggingWe're Excited About You Because You Have…A degree in Math, Physics, Statistics, Economics, Computer Science, or a similar domain2+ years of experience in data analytics, consulting, or related roleExperience working with funnel optimization, user segmentation, cohort analyses, time series analyses, regression models, etcExpertise of SQL queries, ETL, A/B Testing, and statistical analysis (e.g. hypothesis testing, experimentation, regressions) with statistical packages, such as Matlab, R, SAS or PythonProficiency in one or more analytics & visualization tools (e.g. Chartio, Looker, Tableau)The insight to take ambiguous problems and solve them in a structured, hypothesis-driven, data-supported wayAre able to work in our office in São Paulo, BrazilNotice to Applicants for Jobs Located in NYC or Remote Jobs Associated With Office in NYC OnlyWe use Covey as part of our hiring and/or promotional process for jobs in NYC and certain features may qualify it as an AEDT in NYC. As part of the hiring and/or promotion process, we provide Covey with job requirements and candidate submitted applications. We began using Covey Scout for Inbound from August 21, 2023, through December 21, 2023, and resumed using Covey Scout for Inbound again on June 29, 2024.The Covey tool has been reviewed by an independent auditor. Results of the audit may be viewed here: CoveyAbout DoorDashAt DoorDash, our mission to empower local economies shapes how our team members move quickly, learn, and reiterate in order to make impactful decisions that display empathy for our range of users—from Dashers to merchant partners to consumers. We are a technology and logistics company that started by enabling door-to-door delivery, and we are looking for team members who can help us go from a company that is known as the place you order food to a company that people turn to for any and all goods.DoorDash is growing rapidly and changing constantly, which gives our team members the opportunity to share their unique perspectives, solve new challenges, and own their careers. We're committed to supporting employees’ happiness, healthiness, and overall well-being by providing comprehensive benefits and perks.Our Commitment to Diversity and InclusionWe’re committed to growing and empowering a more inclusive community within our company, industry, and cities. That’s why we hire and cultivate diverse teams of people from all backgrounds, experiences, and perspectives. We believe that true innovation happens when everyone has room at the table and the tools, resources, and opportunity to excel.This position is open to candidates with disabilities. DoorDash welcomes applicants registered with the national autism registry (SisTEA) and others who seek an inclusive workplace.If you need any accommodations, please inform your recruiting contact upon initial connection.We use Covey as part of our hiring and/or promotional process for jobs in certain locations.The Covey tool has been reviewed by an independent auditor. Results of the audit may be viewed here:https://getcovey.com/nyc-local-law-144To request a reasonable accommodation under applicable law or alternate selection process, please inform your recruiting contact upon initial connection.Show moreShow less",N/A,Remote,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4354742212,2026-06-01
Data Scientist II,Banco Bradesco,"São Paulo, São Paulo, Brazil",1 week ago,"Sobre o BradescoO Bradesco é um dos maiores grupos financeiros do Brasil, com uma história marcada pelo pioneirismo e inovação. Por meio da nossa carteira amplamente diversificada de produtos financeiros, serviços bancários e de seguros contribuímos com a realização das pessoas e o crescimento sustentável de empresas e sociedade. Venha fazer parte do nosso ecossistema financeiro e impactar a experiência de milhões de pessoas!No Bradesco valorizamos a diversidade em todas as suas formas. Por isso, as nossas vagas são abertas a todas as pessoas, independentemente de gênero, raça, orientação sexual, deficiência, idade ou qualquer outra característica.Saiba mais em https://banco.bradesco/html/classic/sobre/index.shtmResponsabilidades e atribuiçõesO que é o nosso time de Operações de Negócios (ON)?Somos responsáveis por executar com eficiência as atividades de pós-comercialização dos produtos e serviços da Organização, atendendo as solicitações dos clientes e oferecendo soluções operacionais possibilitando o autosserviço.Modelo de trabalho : Híbrido - 1x PresencialUnidade: Vila Leopoldina - SPComo será seu dia a dia?Sendo Data Scientist II, atuará na gerência IA e Operações Autônomas e suas principais atividades serão:Desenvolver experimentos de Inteligência Artificial e Machine Learning aplicados a processos internos de Operações de Negócios;Projetar e implementar soluções baseadas em dados e IA, incluindo uso de IA Generativa;Atuar junto às áreas internas para traduzir necessidades de negócio em soluções analíticas;Criar e conduzir workshops, apresentações e materiais internos para disseminação de IA;Documentar soluções, aprendizados e resultados para compartilhamento e reuso interno.Requisitos e QualificaçõesO que você precisa ter ou saber?Graduação concluída em Ciência de Dados, Ciência da Computação, Engenharia ou áreas correlatas;Conhecimento nível intermediário em Python;Conhecimento em análise de dados e machine learning;Conhecimento em IA Generativa e uso de LLMs.Será um diferencial se você tiver:Conhecimento em processos de automações com uso de RPA's e plataformas low code;Inglês intermediário para leitura de documentação técnica;Conhecimento na construção de agentes de IA.O que nós oferecemosNo Bradesco valorizamos a saúde e bem-estar, oferecendo um extenso portfólio de benefícios a todas nossas pessoas funcionárias:PLR ou Bônus: Conforme a elegibilidade de cargo*Convênio MédicoConvênio OdontológicoSeguro de VidaVale AlimentaçãoVale Refeição13º Cesta AlimentaçãoTotal PassVale Transporte (adesão opcional)Descontos em produtos e serviços em empresas parceirasPrevidência Privada (adesão opcional, com participação financeira da Organização Bradesco)Viva Bem Bradesco: programa de saúde, bem-estar e qualidade de vidaUnibrad: Universidade Corporativa BradescoIsenção de Tarifas: condições especiais em diversos produtos e serviçosAuxílio Creche ou BabáLicença Paternidade estendida de 20 diasLicença Maternidade de 180 dias, acompanhamento assistencial da gestação até o pós-partoShow moreShow less",N/A,On-site/Hybrid,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4417353225,2026-06-01
