title,company,location,posted,description,applicants,work_mode,link,data_coleta
Data Scientist [All Levels],Nubank,"São Paulo, São Paulo, Brazil",1 week ago,"About UsNu was born in 2013 with the mission to fight complexity to empower people in their daily lives by reinventing financial services. We are one of the world’s largest digital banking platforms, serving millions of customers across Brazil, Mexico, and Colombia. For more information, visit our institutional page https://international.nubank.com.br/careers/Data Science at NubankData Science is essential to every part of the business at Nubank, since Day 1. Most areas of the company use data science to some extent. Data Scientists are responsible for translating business needs into models and other types of data-driven solutions.As a Data Scientist, you’re expected toInteract with other team members to understand how to best apply data science and artificial intelligence to Nubank’s problems;Investigate problems and discover insights through exploratory data analysis and other quantitative methods;Have great numerical and analytical literacy, including knowledge of statistics and linear algebra as needed;Work on multiple stages of the ML model lifecycle–from ideation to training and steady-state operation;Work across multiple types of models, algorithms and learning paradigms;Communicate technical points, decisions and tradeoffs to peers and stakeholders;Our ideal candidateHas experience working with ML models in a production environment;Understands possible pitfalls and tradeoffs when applying ML to real-word, sometimes messy problems;Is familiar with the technical aspects of learning theory and algorithms and is able to discuss details if needed;Has experience working with the Python scientific stack (Numpy, Pandas, Scipy, Sklearn, Boosted Tree Libraries, etc);Has experience working with Tensor/Deep Learning libraries such as Tensorflow and Pytorch;Is able to connect analytical outcomes to business priorities and advise stakeholders on the best course of action;Has good communication skills and is able to convey technical topics and decision points to diverse audiences;Has experience writing general-purpose code using modern tools;Understands the implications of causality when applying ML to problems;Is up-to-date with recent developments in the area as a whole and is able to identify opportunities for improvement and innovation;Our BenefitsChance of earning equity at NubankFood/ Meal Card (Vale-Refeição and/or Vale Alimentação)Public Transportation Commuting Benefit (Vale-Transporte)NuCare – Psychological, Financial and Legal Assistance ProgramLife InsuranceMedical PlanDental PlanNuLanguage – Language Course ProgramNucleo - Our learning platform of coursesExtended Parental LeaveDaycare AllowanceParental ConsultancyWork-from-home AllowanceGym Partnerships30 days of paid vacationWork Model for this RoleHybrid 2-3 times/week:Our hybrid work model brings us to the office at least twice a week, on strategic days designed to maximize team connection and collaboration. For more details, visit https://building.nubank.com/nu-hybrid-work-model/Show moreShow less",N/A,On-site/Hybrid,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4364197061,2026-03-18
"Cientista de Dados (Brasil, Remoto)",Dell Technologies,"São Paulo, São Paulo, Brazil",3 hours ago,"A área de Engenharia Centrada em IA é dinâmica e empolgante, fazendo parte do Escritório do CTO (OCTO) da Dell. Conduzimos pesquisas e engenharia voltadas para o futuro da Dell Technologies em um ambiente de alta visibilidade e colaboração intensa. Nossa equipe é especializada no desenvolvimento de soluções avançadas de IA que capacitam empresas a inovar, se comunicar e otimizar operações de maneiras nunca antes possíveis. Somos compostos por pessoas apaixonadas e dedicadas a ultrapassar os limites da tecnologia de IA.Junte-se a nós para realizar o melhor trabalho da sua carreira e causar um impacto social profundo comoCientista de Dadosem nossa equipe no Brasil (remoto).O que você conquistaráComoCientista de Dadosvocê será responsável por contribuir com a estratégia de negócios e influenciar a tomada de decisões com base em informações obtidas por meio de análises aprofundadas. Você produzirá recomendações acionáveis e envolventes ao interpretar insights de conjuntos de dados complexos. Também irá projetar processos para consolidar e examinar dados não estruturados, gerando insights relevantes. Além disso, colaborará com líderes de negócios, engenheiros e especialistas da indústria para construir modelos preditivos, algoritmos e motores de probabilidade.Você IráColaborar com equipes internas e externas para entender os requisitos dos clientes e desenvolver soluções personalizadas utilizando modelos de IA generativa;Desenvolver aplicações de IA utilizadas em diferentes áreas da Dell, com o objetivo de transformar e modernizar a empresa;Desenvolver e conduzir testes para avaliar a eficácia de algoritmos em diferentes casos analíticos;Manter-se atualizado com os avanços mais recentes em pesquisa de IA e aplicar técnicas de ponta para aprimorar o desempenho dos modelos;Realizar testes rigorosos, validação e avaliação de desempenho das soluções de IA.Dê o primeiro passo em direção à carreira dos seus sonhosCada Membro Da Equipe Da Dell Technologies Traz Algo Único Para a Mesa. Aqui Está o Que Estamos Procurando, Com Esta FunçãoRequisitos EssenciaisFormação acadêmica: Graduação completa em Ciência da Computação, Engenharia (Computação, Software, Elétrica, Controle e Automação), Estatística, Matemática, Física ou áreas correlatas. Pós-graduação stricto sensu (Mestrado ou Doutorado) em áreas relacionadas à Inteligência Artificial, Aprendizado de Máquina ou Ciência de Dados;Domínio avançado do inglês, necessário para interação constante com times internacionais;Sólidas habilidades de programação em Python;Compreensão dos conceitos de Aprendizado de Máquina (Machine Learning);Conhecimento e familiaridade com os conceitos fundamentais de design e análise de algoritmos, além de forte conhecimento em matemática e estatística.Requisitos DesejáveisCompreensão sólida de arquiteturas de Deep Learning, com experiência em ajuste fino e personalização de modelos pré-treinados para aplicações específicas. Proficiência em Python e nas bibliotecas/frameworks relevantes (ex.: TensorFlow, PyTorch);Experiência com modelos de linguagem de grande escala e familiaridade com técnicas e aplicações de processamento de linguagem natural (PLN).Quem somosAcreditamos que cada pessoa tem o poder de gerar impacto. É por isso que colocamos as pessoas da nossa equipe no centro de tudo o que fazemos. Se você está procurando uma oportunidade de desenvolver a sua carreira em um ambiente de trabalho inclusivo e diverso, com a tecnologia mais avançada do setor, estamos procurando por você.A Dell Technologies é uma família única de empresas que ajuda pessoas e organizações a transformar a forma como trabalham, vivem e se divertem. Junte-se a nós para construir um futuro que funcione para todas as pessoas, porque o progresso precisa de nós.A Dell Technologies está comprometida com o princípio de oportunidades iguais de emprego para todas as pessoas, e em fornecer às pessoas da equipe um ambiente de trabalho livre de discriminação e assédio. Leia a nossa Política de Oportunidades de Emprego aqui.Job ID:R283866Show moreShow less",N/A,On-site/Hybrid,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4344395115,2026-03-18
Data Scientist I,Banco Bradesco,"Osasco, São Paulo, Brazil",2 weeks ago,"Sobre o BradescoO Bradesco é um dos maiores grupos financeiros do Brasil, com uma história marcada pelo pioneirismo e inovação. Por meio da nossa carteira amplamente diversificada de produtos financeiros, serviços bancários e de seguros contribuímos com a realização das pessoas e o crescimento sustentável de empresas e sociedade. Venha fazer parte do nosso ecossistema financeiro e impactar a experiência de milhões de pessoas!No Bradesco valorizamos a diversidade em todas as suas formas. Por isso, as nossas vagas são abertas a todas as pessoas, independentemente de gênero, raça, orientação sexual, deficiência, idade ou qualquer outra característica.Saiba mais em https://banco.bradesco/html/classic/sobre/index.shtmResponsabilidades e atribuiçõesO que é o nosso time de Cobrança e Recuperação de Créditos (DRC)?Temos como missão garantir a aplicação da Política de Cobrança e Recuperação de Créditos, estabelecendo um processo estruturado para cobrança dos vencidos, gestão de alçadas, regras e limites de descontos nas regularizações de dívidas, atribuição de responsabilidade e de delegação de autoridade, segregando funções e assegurando a existência de controles efetivos que permitam o cumprimento das diretrizes da Organização.Modelo de trabalho : Híbrido - 2x PresencialUnidade: Osasco/SPComo será seu dia a dia?Sendo Data Scientist I - Precificação e Cobrança, atuará na gerência Varejo PJ - Estratégia de Precificação e suas principais atividades serão:Identificar dados de fontes primárias ou secundárias necessários para a análise de oportunidades em redução de inadimplência;Determinar os dados necessários para coleta e inclusão no BI, encontrando as melhores formas de organizar e armazenar as informações de renegociações;Atuar na análise das curvas de inadimplência, reunindo informações pertinentes, organizando-as de forma lógica e funcional;Analisar e identificar oportunidades nas réguas de cobrança do PJ, políticas de renegociação e comissão para terceiros;Gerar e analisar resultados usando técnicas estatísticas e fornecendo relatórios de progresso, seja de impactos regulatórios ou ainda de análise de desempenho (qualidade e produtividade);Identificar, analisar e interpretar os dados de forma a extrair padrões e tendências, torná-los visíveis e compreensíveis, apontar caminhos e soluções para eventuais problemas, entre outros.Requisitos e QualificaçõesO que você precisa ter ou saber?Superior Completo em áreas de exatas, tecnologia ou similares;Conhecimentos em SAS, SQL e Python;Conhecimentos em Databricks;Conhecimentos intermediários nas ferramentas de BI (Tableau, Looker, PowerBI).Será um diferencial se você tiver:Conhecer clusterização e estratégia de Preço / Cobrança.Show moreShow less",N/A,On-site/Hybrid,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4380169346,2026-03-18
Data Science - Analytics & Machine Learning,Mercado Livre Brasil,Greater São Paulo Area,2 weeks ago,"ComoData Science - Analytics & Machine Learningno Mercado Livre, você projetará e escalará sistemas inovadores e seguros que resolvem problemas reais e de alto impacto. Trabalhará em um ambiente dinâmico com tecnologia de ponta, aplicando boas práticas de engenharia, modelos próprios de IA e aprendizado contínuo, com o propósito de democratizar o comércio eletrônico e os serviços financeiros na América Latina.Imagine-se empreendendo projetos desafiadores, dinâmicos e inovadores esendo responsável por:Realizar análises exploratórias e gerar insights acionáveis para suporte à tomada de decisão.Desenvolver, validar e implementar modelos estatísticos e de Machine Learning.Preparar e estruturar dados, realizar tratamento, transformação e feature engineering.Definir, acompanhar e analisar métricas e KPIs de performance.Apoiar o desenho e a análise de experimentos, incluindo testes A/B.Documentar processos, garantir boas práticas de versionamento e monitoramento e colaborar com times multidisciplinares (Dados, Engenharia, Produto e Negócio).O que buscamos em você?Dominar Python e possuir sólidos conhecimentos em SQL.Possuir experiência com bibliotecas de Machine Learning (scikit-learn, XGBoost, TensorFlow ou similares) e aplicar estatística e modelagem preditiva.Utilizar Git e atuar em ambientes em nuvem, possuir conhecimento em MLOps e deploy de modelos como diferencial.Demonstrar experiência com modelos de linguagem (LLMs), aplicar técnicas de prompt engineering, utilizar APIs de IA generativa e compreender conceitos de IA Agêntica, incluindo orquestração de agentes e automação baseada em LLMs.Você se anima a deixar sua marca na tecnologia da América Latina?Candidate-se e junte-se ao nosso propósito!Modalidade de trabalho híbrida. Escritório Melicidade (São Paulo).Show moreShow less",N/A,On-site/Hybrid,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4378108155,2026-03-18
Data Scientist Specialist,Banco Bradesco,"Osasco, São Paulo, Brazil",2 hours ago,"Sobre o BradescoO Bradesco é um dos maiores grupos financeiros do Brasil, com uma história marcada pelo pioneirismo e inovação. Por meio da nossa carteira amplamente diversificada de produtos financeiros, serviços bancários e de seguros contribuímos com a realização das pessoas e o crescimento sustentável de empresas e sociedade. Venha fazer parte do nosso ecossistema financeiro e impactar a experiência de milhões de pessoas!No Bradesco valorizamos a diversidade em todas as suas formas. Por isso, as nossas vagas são abertas a todas as pessoas, independentemente de gênero, raça, orientação sexual, deficiência, idade ou qualquer outra característica.Saiba mais em https://banco.bradesco/html/classic/sobre/index.shtmResponsabilidades e atribuiçõesO que é o nosso time de Crédito?Temos como missão garantir uma gestão eficiente na concessão e manutenção de crédito, que assegure rentabilidade e o crescimento com solidez dos ativos da Organização.Modelo de trabalho : Híbrido - 2x PresencialUnidade: Osasco/SPComo será seu dia a dia?Sendo Data Scientist Specialist, atuará na gerência Gestão de Portfólio e Projetos e suas principais atividades serão:Direcionar a estratégia de originação, garantindo o cumprimento das concentrações máximas estabelecidas para as carteiras.Realizar estudos de mercado para identificar oportunidades de negócio e recomendar ações aos diferentes segmentos de clientes.Definir e revisar fronteiras Hard/Soft em conjunto com a área de Riscos, apresentando os limites aos segmentos envolvidosDesenvolver análises de clusterização, identificando perfis ideais e padrões relevantes para apoio à decisão.Monitorar limites de risco e acionar a área de Riscos para emissão de alertas aos segmentos quando houver aproximação dos limites definidos.Realizar segmentações e análises de cluster para apoiar estratégias comerciais e de risco.Manipular grandes bases de dados, estruturando informações para análises e tomadas de decisão.Avaliar soluções analíticas internas e externas, identificando ferramentas, metodologias e tecnologias que possam agregar valor ao negócioRequisitos e QualificaçõesO que você precisa ter ou saber?Experiência nas áreas de Modelagem Estatística, Políticas de Crédito e Gestão de Portfólio.Domínio em programação Python e SQL.Inglês intermediário a avançado.Será um diferencial se você tiver:Conhecimento em SAS.O que nós oferecemosNo Bradesco valorizamos a saúde e bem-estar, oferecendo um extenso portfólio de benefícios a todas nossas pessoas funcionárias:PLR ou Bônus: Conforme a elegibilidade de cargo*Convênio MédicoConvênio OdontológicoSeguro de VidaVale AlimentaçãoVale Refeição13º Cesta AlimentaçãoTotal PassVale Transporte (adesão opcional)Descontos em produtos e serviços em empresas parceirasPrevidência Privada (adesão opcional, com participação financeira da Organização Bradesco)Viva Bem Bradesco: programa de saúde, bem-estar e qualidade de vidaUnibrad: Universidade Corporativa BradescoIsenção de Tarifas: condições especiais em diversos produtos e serviçosAuxílio Creche ou BabáLicença Paternidade estendida de 20 diasLicença Maternidade de 180 dias, acompanhamento assistencial da gestação até o pós-partoShow moreShow less",N/A,On-site/Hybrid,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4365647130,2026-03-18
Cientista de dados,SulAmérica,"São Paulo, São Paulo, Brazil",17 hours ago,"Para o match perfeito acontecer precisa de PESSOAS, com as mais diversas experiências e pontos de vista, para que possamos continuar evoluindo enquanto empresa.Por isso, aqui na SulAmérica, incentivamos a candidatura de pessoas de todas as raças/etnias, orientações sexuais, identidades de gênero, gerações, com ou sem deficiência, para todas as nossas vagas. Afinal, as nossas diferenças é o que nos complementam!#LGBTI+ #PessoasNegras #PcD #50+ #Gerações #PessoasComDeficiênciaComo será o seu dia a dia nessa área:Tratar e analisar grandes conjuntos de dados para identificar padrões, tendências e anomalias que possam indicar atividades de fraude ou abuso.Criar modelos estatísticos e algoritmos para a detecção de fraude/abusos ou má utilização do plano.Trabalhar em estreita colaboração com a equipe de combate à fraude para compartilhar informações, relatar descobertas e auxiliar em investigações.Apresentar resultados por meio de visualizações de dados, como gráficos / dashboards, para tornar as informações acessíveis e compreensíveis para a equipe de combate à fraude.Garantir a segurança e a privacidade dos dados utilizados nas análises, cumprindo os regulamentos de proteção de dados.Documentar descobertas e resultados de análises em relatórios que podem ser usados para investigações, auditorias e relatórios de status.Entre outras atividades.Requisitos necessários para ser Cientista de dados na #SulA:Graduação completa equivalente em Estatística, Matemática, Economia, Ciência da Computação, Engenharia ou campo relacionado.Domínio com linguagens de programação usadas na análise de dados, como Python e R.Conhecimento em SQL e experiência com Google BigQuery.Ter atuado com ciência de dados ou campo similar.Será um diferencial se você tiver:Conhecimento em seguradoras.Local de trabalho:São Paulo – Região da Avenida PaulistaO que a SulA vai te proporcionar?Além de um ambiente de inovação e aberto a experimentação:Salário competitivo com o mercado;Vale Refeição e Alimentação - para matar aquela fome;Assistência Média e Odontológica (extensível a dependentes) - Claro, da SulAmérica né!Seguro de vida;Auxílio Creche para papais e mamães;Previdência Privada com uma ajudinha da SulA;Seguro de Vida.A SulAmérica é uma empresa em transformação, com DNA inovador e sempre preocupada em atender as necessidades dos seus clientes com soluções e produtos encantadores. Se identificou? Então vem com a gente e fazer parte desse time #sanguelaranja 🧡🚀Buscamos pessoas que gostem de desafios e:Sejam colaborativas;Tenham foco no resultado e centralidade em nossos(as) clientes;Saibam se adaptar aos diferentes desafios do dia a dia;Que tenha sempre em mente o inconformismo, propondo soluções inovadoras.O que oferecemos para você:Salário competitivo com o mercado.Vale Refeição e Alimentação.Assistência Médica e Odontológica (extensiva a dependentes) da SulAmérica!Seguro de vida SulAmérica.Auxílio Creche /Babá.Previdência Privada com contrapartida SulAmérica.Programa de Participação nos Resultados.Vale transporte.Se identificou? Então, vem fazer parte do time #SangueLaranja 🧡🚀Sobre nós:Há mais de 129 anos, a SulAmérica tem como missão melhorar a vida das pessoas, oferecendo apoio, segurança e autonomia em todos os momentos. Atendemos 6.8 milhões de clientes por meio de nossos produtos e serviços de Saúde, Odonto, Vida, Previdência e Investimentos. Para tornar isso possível, contamos com o engajamento e a dedicação de mais de 4 mil colaboradores(as) comprometidos(as) com o nosso propósito.Acreditamos que por meio da inclusão e da diversidade construímos um ambiente seguro e de pertencimento que valoriza e respeita as pessoas integralmente. Assim, incentivamos a candidatura de pessoas com deficiência, de diferentes raças e etnias, gêneros, orientações sexuais, identidades de gênero e gerações para todas as nossas vagas.Quer saber mais sobre nós?Acompanhe a gente aqui no LinkedIn e no Instagram: @sulamericaShow moreShow less",N/A,On-site/Hybrid,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4384719245,2026-03-18
Data Scientist II - Estratégias de Recuperação e Cobrança de Produtos Agro,Banco Bradesco,"Osasco, São Paulo, Brazil",15 hours ago,"Sobre o BradescoO Bradesco é um dos maiores grupos financeiros do Brasil, com uma história marcada pelo pioneirismo e inovação. Por meio da nossa carteira amplamente diversificada de produtos financeiros, serviços bancários e de seguros contribuímos com a realização das pessoas e o crescimento sustentável de empresas e sociedade. Venha fazer parte do nosso ecossistema financeiro e impactar a experiência de milhões de pessoas!No Bradesco valorizamos a diversidade em todas as suas formas. Por isso, as nossas vagas são abertas a todas as pessoas, independentemente de gênero, raça, orientação sexual, deficiência, idade ou qualquer outra característica.Saiba mais em https://banco.bradesco/html/classic/sobre/index.shtmResponsabilidades e atribuiçõesO que é o nosso time de Crédito?Temos como missão garantir uma gestão eficiente na concessão e manutenção de crédito, que assegure rentabilidade e o crescimento com solidez dos ativos da Organização.Modelo de trabalho : Híbrido - 2x PresencialUnidade: Osasco/SP e Curitiba/PRComo será seu dia a dia?Sendo Data Scientist II, atuará na gerência Portifólio Agro e suas principais atividades serão:Apoiar na execução das estratégias de cobrança e recuperação para o segmento Agro.Realizar análises de carteira: comportamento de pagamento, riscos, performance e tendências.Atuar em renegociações, contato com clientes e suporte às operações internas.Elaborar relatórios, dashboards, indicadores e insights que suportem a tomada de decisão.Desenvolver análises e manipulação de dados, preferencialmente utilizando Databricks.Colaborar com áreas internas e parceiros externos envolvidos nos processos de recuperação.Requisitos e QualificaçõesO que você precisa ter ou saber?Graduação em áreas analíticas: Engenharias, Estatística, Matemática, Economia ou áreas correlatas.Experiência comprovada em análise e manipulação de dados.Domínio de ferramentas analíticas: Power BI; Excel Avançado; Databricks (preferencial).Será um diferencial se você tiver:Desejável conhecimento em produtos Agro, como: CPR e Crédito Rural.O que nós oferecemosNo Bradesco valorizamos a saúde e bem-estar, oferecendo um extenso portfólio de benefícios a todas nossas pessoas funcionárias:PLR ou Bônus: Conforme a elegibilidade de cargo*Convênio MédicoConvênio OdontológicoSeguro de VidaVale AlimentaçãoVale Refeição13º Cesta AlimentaçãoTotal PassVale Transporte (adesão opcional)Descontos em produtos e serviços em empresas parceirasPrevidência Privada (adesão opcional, com participação financeira da Organização Bradesco)Viva Bem Bradesco: programa de saúde, bem-estar e qualidade de vidaUnibrad: Universidade Corporativa BradescoIsenção de Tarifas: condições especiais em diversos produtos e serviçosAuxílio Creche ou BabáLicença Paternidade estendida de 20 diasLicença Maternidade de 180 dias, acompanhamento assistencial da gestação até o pós-partoShow moreShow less",N/A,On-site/Hybrid,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4386981490,2026-03-18
Data Scientist Specialist,Banco Bradesco,"Osasco, São Paulo, Brazil",1 day ago,"Sobre o BradescoO Bradesco é um dos maiores grupos financeiros do Brasil, com uma história marcada pelo pioneirismo e inovação. Por meio da nossa carteira amplamente diversificada de produtos financeiros, serviços bancários e de seguros contribuímos com a realização das pessoas e o crescimento sustentável de empresas e sociedade. Venha fazer parte do nosso ecossistema financeiro e impactar a experiência de milhões de pessoas!No Bradesco valorizamos a diversidade em todas as suas formas. Por isso, as nossas vagas são abertas a todas as pessoas, independentemente de gênero, raça, orientação sexual, deficiência, idade ou qualquer outra característica.Saiba mais em https://banco.bradesco/html/classic/sobre/index.shtmResponsabilidades e atribuiçõesO que é o nosso time de Controladoria?Temos a missão de garantir ao Grupo Bradesco informações gerenciais, resultados, análises e projeções com governança, bem como ser referência em análises, estudos e projeções de finanças para aumentar a qualidade e precisão das decisões tomadas pela Organização.Modelo de trabalho : Híbrido - 3x PresencialUnidade: Osasco/SPComo será seu dia a dia?Sendo Data Scientist Specialist, atuará na gerência Finance Analytics e suas principais atividades serão:Elaborar estudos de performance financeira envolvendo business units, produtos, canais e clientes, trazendo análises diagnósticas e recomendações para apoiar decisões estratégicas do Banco;Analisar a rentabilidade e o resultado de produtos e clientes em diferentes perfis e segmentos, incluindo projeções de cenários, investigação de variações e identificação de oportunidades;Aplicar técnicas estatísticas descritivas e preditivas que suportem as análises de performance financeira, conferindo embasamento científico aos estudos;Utilizar modelos de Machine Learning, supervisionados e não supervisionados, para responder a perguntas de negócio no contexto financeiro;Analisar e interpretar dados financeiros combinados com dados não financeiros e qualitativos, identificando padrões e tendências que apoiem a tomada de decisões estratégicas;Construir dashboards que ofereçam suporte às análises financeiras;Utilizar tecnologias de dados como SQL, Python, Spark, Databricks e Power BI para extração, manipulação, consolidação e visualização dos dados necessários aos estudos de performance financeira.Requisitos e QualificaçõesO que você precisa ter ou saber?Graduação em Economia, Estatística, Ciência de Dados, Matemática, Engenharias ou Contabilidade;MBA ou Pós-graduação em Controladoria, Finanças ou Business Analytics & Big Data;Conhecimento em análise de P&L e rentabilidade de produtos, canais e segmentos;Conhecimento em produtos e serviços bancários e no mercado financeiro;Experiência em Bancos ou Fintechs nas áreas de Finance/FP&A;Habilidade na manipulação de grandes volumes de dados utilizando SQL, Python e Spark;Conhecimento avançado em Power BI e DAX ou outra ferramenta de DataViz.Será um diferencial se você tiver:Conhecimento em modelos de Machine Learning, supervisionados e não supervisionados, aplicados ao contexto financeiro;Vivência em projetos de BI e/ou estudos de Data Analytics relevantes para o negócio;Experiência com produtos bancários.Show moreShow less",N/A,On-site/Hybrid,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4386374495,2026-03-18
Data Scientist,DoorDash,"São Paulo, São Paulo, Brazil",3 hours ago,"About The TeamThe Analytics team is looking for experienced Data Scientists to guide measurement, strategy, and tactical decision-making across the company across a variety of teams and levels. Data Scientists at DoorDash work to uncover insights and turn them into relevant recommendations, driving decisions for the entire organization. Analytics is integral to all operational areas at DoorDash.Please apply here for all non-managerial levels within the following analytics teams:Consumer & GrowthBusiness OperationsDasher & LogisticsCustomer Experience & IntegrityMerchant, Ads & SalesNew VerticalsInternational Data ScienceAbout The RoleAs a Data Scientist at DoorDash, you'll use your quantitative background to mentor other scientists and dive into large datasets to guide decision-making. We solve a multitude of exciting challenges including customer acquisition, fraud and support, marketing, balancing supply and demand, new city launches, marketplace efficiency, and more. If you enjoy finding patterns amidst chaos, and have experience using analytics to affect revenue, growth, operations or beyond, we're looking for someone like you!You're Excited About This Opportunity Because You Will…Use quantitative analysis and the presentation of data to see beyond the numbers and understand what drives our businessBuild full-cycle analytics experiments, reports, and dashboards using SQL, R, Python, or other scripting and statistical toolsWork with and mentor junior analysts on how to use more advanced methods and solve challengesProduce recommendations and use statistical techniques and hypothesis testing to validate your findingsProvide insights to help business and product leaders understand marketplace dynamics, user behaviors, and long-term trendsIdentify and measure levers to help move essential metrics and make recommendationsWork backwards from understanding and sizing problems to ideating solutionsReport against our goals by identifying essential metrics and building executive-facing dashboards to track progressCollaborate with engineering to implement, document, validate, and monitor our loggingWe're Excited About You Because You Have…A degree in Math, Physics, Statistics, Economics, Computer Science, or a similar domain2+ years of experience in data analytics, consulting, or related roleExperience working with funnel optimization, user segmentation, cohort analyses, time series analyses, regression models, etcExpertise of SQL queries, ETL, A/B Testing, and statistical analysis (e.g. hypothesis testing, experimentation, regressions) with statistical packages, such as Matlab, R, SAS or PythonProficiency in one or more analytics & visualization tools (e.g. Chartio, Looker, Tableau)The insight to take ambiguous problems and solve them in a structured, hypothesis-driven, data-supported wayAre able to work in our office in São Paulo, BrazilNotice to Applicants for Jobs Located in NYC or Remote Jobs Associated With Office in NYC OnlyWe use Covey as part of our hiring and/or promotional process for jobs in NYC and certain features may qualify it as an AEDT in NYC. As part of the hiring and/or promotion process, we provide Covey with job requirements and candidate submitted applications. We began using Covey Scout for Inbound from August 21, 2023, through December 21, 2023, and resumed using Covey Scout for Inbound again on June 29, 2024.The Covey tool has been reviewed by an independent auditor. Results of the audit may be viewed here: CoveyAbout DoorDashAt DoorDash, our mission to empower local economies shapes how our team members move quickly, learn, and reiterate in order to make impactful decisions that display empathy for our range of users—from Dashers to merchant partners to consumers. We are a technology and logistics company that started by enabling door-to-door delivery, and we are looking for team members who can help us go from a company that is known as the place you order food to a company that people turn to for any and all goods.DoorDash is growing rapidly and changing constantly, which gives our team members the opportunity to share their unique perspectives, solve new challenges, and own their careers. We're committed to supporting employees’ happiness, healthiness, and overall well-being by providing comprehensive benefits and perks.Our Commitment to Diversity and InclusionWe’re committed to growing and empowering a more inclusive community within our company, industry, and cities. That’s why we hire and cultivate diverse teams of people from all backgrounds, experiences, and perspectives. We believe that true innovation happens when everyone has room at the table and the tools, resources, and opportunity to excel.This position is open to candidates with disabilities. DoorDash welcomes applicants registered with the national autism registry (SisTEA) and others who seek an inclusive workplace.If you need any accommodations, please inform your recruiting contact upon initial connection.We use Covey as part of our hiring and/or promotional process for jobs in certain locations.The Covey tool has been reviewed by an independent auditor. Results of the audit may be viewed here:https://getcovey.com/nyc-local-law-144To request a reasonable accommodation under applicable law or alternate selection process, please inform your recruiting contact upon initial connection.Show moreShow less",N/A,Remote,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4354742212,2026-03-18
